2022-09-21 17:14:07,635 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-09-21 17:14:07,663 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-09-21 17:14:07,665 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-09-21 17:14:07,666 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-09-21 17:14:07,669 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-09-21 17:14:07,670 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-09-21 17:14:07,670 INFO  SwAddin.cs: 201 - Setting up command manager
2022-09-21 17:14:07,671 INFO  SwAddin.cs: 204 - Adding command manager
2022-09-21 17:14:07,674 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-09-21 17:14:07,675 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-09-21 17:14:07,676 INFO  SwAddin.cs: 210 - Adding event handlers
2022-09-21 17:14:07,696 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-09-21 17:16:24,111 INFO  SwAddin.cs: 294 - Assembly export called for file HitBox
2022-09-21 17:16:24,112 INFO  SwAddin.cs: 299 - Save is required
2022-09-21 17:16:24,112 INFO  SwAddin.cs: 313 - Saving assembly
2022-09-21 17:16:24,113 INFO  SwAddin.cs: 316 - Opening property manager
2022-09-21 17:16:24,123 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HitBox
2022-09-21 17:16:24,128 INFO  ExportHelperExtension.cs: 1136 - Found 23 in HitBox
2022-09-21 17:16:24,129 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in HitBox
2022-09-21 17:16:24,129 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-09-21 17:16:24,130 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-09-21 17:16:24,131 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HitBox.stp-1
2022-09-21 17:16:24,132 INFO  ExportHelperExtension.cs: 1136 - Found 27 in HitBox.stp-1
2022-09-21 17:16:24,132 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in HitBox.stp-1
2022-09-21 17:16:24,132 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from HitBox
2022-09-21 17:16:24,133 INFO  ExportHelperExtension.cs: 1136 - Found 23 in HitBox
2022-09-21 17:16:24,133 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in HitBox
2022-09-21 17:16:24,133 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-09-21 17:16:24,134 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-09-21 17:16:24,134 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from HitBox.stp-1
